                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.70215,                0.62915,                0.56797,                 1.0041,                0.89373,                0.89574,                0.91646,                0.78451,                0.87889,                 0.8811,                0.87863,                0.47491,                0.54279,                0.47095,                0.46934,                0.94396,             0.00085803,             0.00085803,             0.00085803
                     26,                0.66287,                0.62429,                 0.5436,                0.99697,                 0.8937,                0.86945,                 0.9163,                0.80074,                0.84259,                0.82279,                0.83692,                0.48376,                 0.4958,                0.46449,                0.56058,                0.91653,             0.00084703,             0.00084703,             0.00084703
                     27,                0.68324,                0.64055,                 0.5415,                0.99523,                0.91114,                0.91498,                0.93386,                0.82179,                0.89019,                  0.893,                0.89996,                0.55242,                0.49052,                0.39727,                0.40345,                0.93176,             0.00083603,             0.00083603,             0.00083603
                     28,                 0.6895,                0.63775,                0.55675,                0.99766,                0.89711,                0.89809,                0.90476,                0.75158,                0.88863,                0.88681,                0.88964,                0.49041,                0.58914,                0.41772,                0.51678,                0.97688,             0.00082503,             0.00082503,             0.00082503
                     29,                0.66904,                0.62402,                0.53968,                0.99052,                0.85007,                0.90736,                0.91052,                0.78684,                 0.8982,                0.85891,                0.90147,                0.49348,                0.53385,                0.48008,                0.49989,                0.94491,             0.00081403,             0.00081403,             0.00081403
                     30,                0.65552,                0.61205,                0.51995,                0.99132,                0.93583,                0.89122,                0.93059,                0.81052,                0.90361,                0.87437,                0.89282,                0.52008,                0.48723,                0.43346,                 0.4396,                 0.9231,             0.00080303,             0.00080303,             0.00080303
                     31,                 0.6334,                0.60199,                0.49839,                0.97347,                0.89881,                0.88457,                0.92206,                0.79265,                0.87343,                0.88638,                0.90195,                0.52467,                0.50086,                0.44015,                0.43214,                0.92852,             0.00079203,             0.00079203,             0.00079203
                     32,                0.63194,                0.60739,                0.51091,                0.98534,                0.91913,                0.91811,                0.94062,                0.83373,                0.88776,                0.88132,                0.89994,                 0.5338,                 0.4613,                0.48973,                0.42777,                0.90654,             0.00078103,             0.00078103,             0.00078103
                     33,                0.63448,                0.59933,                0.50519,                0.97959,                0.93386,                0.92938,                0.94545,                0.83264,                0.91255,                0.88088,                0.90546,                0.49078,                0.47198,                0.47959,                0.39993,                0.90143,             0.00077003,             0.00077003,             0.00077003
                     34,                0.65513,                0.62293,                 0.5169,                0.98193,                0.90588,                0.90333,                0.92893,                0.80997,                0.87969,                0.88342,                 0.8929,                0.49481,                0.51254,                0.41709,                0.43051,                0.92776,             0.00075904,             0.00075904,             0.00075904
                     35,                0.64967,                0.59414,                0.50139,                0.97415,                0.88012,                0.89698,                0.91202,                0.80719,                0.88649,                0.88519,                0.90096,                0.53762,                0.47657,                0.40463,                 0.4237,                0.90923,             0.00074804,             0.00074804,             0.00074804
