                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.80053,                0.42637,                 0.8688,                 0.9184,                0.89405,                0.92918,                0.73989,                0.79377,                0.53352,                0.88725,              0.0011098,              0.0011098,              0.0011098
                     37,                0.77208,                0.42513,                0.85404,                0.91365,                0.89644,                0.93573,                0.74894,                0.79812,                0.55185,                 0.8773,              0.0011056,              0.0011056,              0.0011056
                     38,                 0.7517,                  0.411,                0.84345,                0.92951,                0.89023,                0.92003,                0.72575,                0.85352,                 0.5526,                0.87262,              0.0011015,              0.0011015,              0.0011015
                     39,                0.73235,                0.40916,                0.84361,                0.90766,                0.91235,                0.93095,                0.72755,                0.85047,                0.55786,                0.87521,              0.0010974,              0.0010974,              0.0010974
                     40,                0.72301,                0.41126,                0.84353,                0.92297,                0.84723,                0.91485,                0.68619,                0.91372,                0.60528,                0.89636,              0.0010933,              0.0010933,              0.0010933
                     41,                0.71656,                0.41755,                0.84876,                0.92696,                0.82583,                0.92314,                0.74391,                0.80721,                0.55899,                0.87325,              0.0010891,              0.0010891,              0.0010891
                     42,                0.73408,                0.41388,                0.85187,                0.90729,                0.85841,                0.92938,                0.73199,                0.85827,                0.57844,                0.87888,               0.001085,               0.001085,               0.001085
                     43,                0.73934,                0.40927,                0.84659,                 0.9106,                0.86869,                0.92009,                0.70909,                0.87516,                0.59272,                0.88948,              0.0010809,              0.0010809,              0.0010809
                     44,                0.72307,                0.40796,                0.85426,                0.94082,                0.86432,                0.92369,                0.72268,                 0.8565,                0.66401,                0.87856,              0.0010768,              0.0010768,              0.0010768
                     45,                0.71522,                0.39757,                 0.8421,                 0.9005,                0.90688,                0.93779,                0.74303,                0.82308,                0.50765,                0.87487,              0.0010726,              0.0010726,              0.0010726
                     46,                 0.7126,                0.39093,                0.83969,                0.88667,                0.92931,                0.93458,                0.75477,                0.75772,                0.48585,                0.85808,              0.0010685,              0.0010685,              0.0010685
                     47,                0.71464,                0.39792,                0.84555,                0.91946,                0.89992,                0.92978,                0.75225,                0.75851,                0.52157,                0.86157,              0.0010644,              0.0010644,              0.0010644
                     48,                 0.7401,                0.41656,                0.84497,                0.90192,                0.89975,                0.92386,                0.73441,                0.77696,                0.54133,                 0.8632,              0.0010603,              0.0010603,              0.0010603
                     49,                0.71277,                0.40283,                0.84304,                0.91263,                0.88785,                0.93066,                0.72734,                0.83354,                0.52268,                0.88113,              0.0010561,              0.0010561,              0.0010561
                     50,                0.72994,                0.40996,                0.84406,                0.84452,                0.92139,                0.92697,                 0.7447,                0.78023,                0.53379,                0.86931,               0.001052,               0.001052,               0.001052
                     51,                0.68264,                0.38654,                0.83852,                0.92557,                0.85571,                0.91513,                0.71463,                0.87195,                0.56442,                0.87713,              0.0010479,              0.0010479,              0.0010479
                     52,                0.71648,                0.40401,                0.83864,                0.88566,                0.89681,                0.92353,                0.70564,                0.90469,                0.60149,                 0.8842,              0.0010438,              0.0010438,              0.0010438
                     53,                0.69969,                0.38798,                 0.8363,                0.91765,                0.90259,                0.92997,                0.75225,                0.79808,                0.54022,                 0.8614,              0.0010396,              0.0010396,              0.0010396
                     54,                0.68144,                0.38387,                0.83348,                0.89213,                0.90317,                0.92467,                0.73102,                0.83815,                 0.5338,                0.87373,              0.0010355,              0.0010355,              0.0010355
