                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1438,                 3.3941,                 3.0764,                 1.8295,                0.00649,                0.47731,                0.09492,                0.03143,                0.00205,                0.15068,                0.03046,                0.00722,                 1.8469,                  2.022,                 3.6455,                  1.957,                0.00032,                0.00032,                0.00032
                      2,                 1.4815,                 1.3892,                 1.9127,                 1.3264,                0.32299,                0.28767,                0.19869,                0.09321,                0.27168,                0.23288,                0.13683,                0.03219,                 1.4485,                0.94915,                 3.0124,                 1.5966,             0.00065347,             0.00065347,             0.00065347
                      3,                 1.4053,                 1.2612,                 1.5745,                 1.2599,                0.30271,                0.19178,                0.18351,                0.10291,                0.50556,                 0.0411,                0.04079,                0.01886,                 1.6432,                 1.2293,                  2.928,                 1.7511,              0.0009802,              0.0009802,              0.0009802
                      4,                 1.3269,                 1.1953,                 1.4176,                 1.2221,                 0.3734,                0.23288,                0.23608,                0.11515,                 0.4126,                0.24658,                0.24386,                0.07247,                 1.5641,                0.89164,                 2.5382,                  1.624,              0.0013002,              0.0013002,              0.0013002
                      5,                 1.4408,                 1.1872,                 1.4533,                 1.2764,                0.36086,                0.30137,                0.27072,                0.14513,                0.37814,                0.31507,                0.29134,                0.10869,                 1.5819,                0.84776,                 2.4475,                 1.8458,              0.0016135,              0.0016135,              0.0016135
                      6,                 1.3481,                 1.0798,                 1.3665,                 1.2407,                0.40345,                0.43836,                0.36776,                0.20752,                0.40724,                0.46575,                0.37478,                 0.1386,                   1.52,                0.78214,                 2.2776,                 1.6839,               0.001901,               0.001901,               0.001901
                      7,                 1.3599,                 1.1169,                 1.3355,                 1.2554,                0.56409,                0.47945,                0.46293,                0.28805,                0.59766,                0.48842,                0.51886,                0.23543,                 1.4168,                0.73815,                 1.9413,                 1.6885,               0.001901,               0.001901,               0.001901
                      8,                 1.3904,                 1.1475,                 1.3256,                 1.2479,                 0.4807,                0.43119,                0.41939,                0.26657,                0.49485,                0.44288,                 0.4079,                0.13167,                 1.3381,                0.77156,                 2.1729,                 1.5226,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3227,                 1.1323,                 1.2612,                 1.2345,                0.47998,                0.63014,                0.47966,                0.30763,                0.50035,                0.65753,                0.50581,                0.21027,                 1.3141,                0.60601,                  2.146,                 1.5385,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3049,                 1.0396,                 1.1974,                 1.2124,                0.56108,                0.47285,                0.45476,                0.32842,                0.56108,                0.47285,                0.46548,                0.16847,                 1.3807,                0.70614,                 2.3768,                 1.5068,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2633,                 1.0054,                 1.1606,                  1.211,                0.65878,                0.61644,                 0.6077,                0.43023,                0.69807,                0.61644,                0.60767,                0.26846,                 1.2244,                0.74007,                 1.5873,                 1.3849,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2993,                 1.0712,                 1.1884,                 1.2072,                0.59508,                0.73973,                0.67141,                0.46781,                0.59749,                0.73208,                0.67696,                0.33972,                  1.138,                0.72259,                 1.3713,                 1.3412,               0.001802,               0.001802,               0.001802
                     13,                 1.1824,                 1.0061,                 1.1093,                 1.1539,                0.76017,                0.69863,                0.76617,                0.54594,                0.73727,                0.72603,                0.77322,                0.41288,                 1.1278,                0.63625,                 1.3234,                 1.3263,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2119,                 1.0097,                  1.116,                 1.1841,                0.74266,                0.76712,                0.75542,                0.51178,                0.70261,                0.72603,                0.70746,                0.35077,                 1.1901,                0.69714,                 1.2006,                 1.3708,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2529,                 1.0503,                 1.1277,                 1.2165,                0.73522,                0.60865,                0.68713,                0.45508,                0.67666,                0.63014,                0.65061,                0.25474,                 1.1351,                0.68661,                  1.442,                 1.3066,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2142,                  0.997,                 1.0918,                 1.1838,                0.68518,                0.71233,                0.72173,                0.50804,                0.65059,                0.67123,                0.66876,                0.32561,                  1.134,                0.58344,                 1.2233,                 1.3526,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.1501,                 0.9354,                 1.0438,                 1.1593,                0.77029,                0.73502,                0.77427,                0.54496,                0.82557,                0.63014,                0.74019,                0.40663,                 1.1419,                0.59412,                 1.1648,                 1.3279,               0.001703,               0.001703,               0.001703
                     18,                 1.1673,                0.95762,                 1.0314,                 1.1838,                0.79004,                0.71233,                  0.809,                0.53294,                0.79263,                0.64384,                0.70438,                0.30035,                 1.0705,                0.65874,                 1.1648,                 1.2518,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.167,                0.95471,                 1.0367,                 1.1646,                0.70401,                0.78082,                 0.7004,                0.41577,                0.65002,                0.69863,                 0.6359,                 0.2352,                 1.2277,                0.61385,                   1.29,                  1.368,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1752,                0.91388,                 1.0497,                 1.1551,                0.62257,                0.76828,                 0.7075,                0.46368,                0.67644,                0.75342,                0.66468,                0.30882,                 1.1912,                0.54352,                  1.255,                  1.382,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1254,                0.88738,                0.99313,                 1.1306,                0.67236,                0.75904,                0.74576,                0.49522,                0.78619,                0.64384,                0.71462,                0.35911,                 1.1704,                0.53574,                  1.143,                 1.3589,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1269,                0.94966,                0.96681,                  1.141,                0.82219,                0.76712,                0.77816,                0.50831,                0.84004,                0.73973,                0.76435,                0.32998,                 1.1441,                0.63986,                 1.0554,                 1.3157,               0.001604,               0.001604,               0.001604
                     23,                 1.1186,                0.93047,                0.94746,                 1.1436,                0.71299,                0.84932,                0.78532,                0.53711,                 0.6561,                0.78408,                0.70655,                0.32988,                 1.1234,                0.59036,                 1.0422,                 1.3423,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1244,                0.88966,                0.94904,                 1.1439,                0.77107,                0.76712,                0.77621,                0.54085,                0.76593,                0.76205,                 0.7803,                0.40113,                  1.109,                0.55215,                 1.0419,                 1.3588,              0.0015644,              0.0015644,              0.0015644
                     25,                  1.057,                0.89915,                0.91141,                 1.1084,                0.81218,                0.73973,                 0.7864,                0.55338,                0.78068,                0.71233,                0.75583,                0.40996,                 1.0422,                0.60002,                0.98968,                   1.25,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.0831,                0.89214,                0.91025,                 1.1061,                0.84667,                0.75645,                0.77619,                0.55008,                  0.785,                0.70025,                 0.7118,                0.22286,                 1.0717,                0.86728,                 1.0131,                 1.2749,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.0552,                0.88038,                0.89764,                 1.1145,                0.73862,                0.78082,                0.77687,                0.56888,                0.85626,                 0.6529,                0.75641,                0.36672,                 1.0646,                0.56977,                 1.0374,                  1.251,               0.001505,               0.001505,               0.001505
                     28,                 1.0298,                0.83987,                0.90847,                 1.1092,                0.83372,                0.84932,                0.80614,                0.59931,                0.77565,                0.79452,                0.77195,                0.46624,                 1.0102,                0.53261,                0.90115,                 1.2214,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0713,                0.89771,                0.87653,                 1.1123,                0.81924,                0.75342,                0.80633,                0.60955,                0.86331,                0.69223,                0.78637,                0.42592,                0.96371,                0.53847,                0.93646,                 1.1917,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.0139,                0.92183,                0.86524,                 1.0996,                0.86628,                0.79452,                0.81998,                0.59369,                0.86739,                 0.8064,                0.81989,                0.43122,                 1.0051,                0.55429,                0.88187,                 1.2204,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0429,                0.88885,                0.84977,                 1.1045,                0.88187,                0.76712,                0.81925,                0.60278,                0.86567,                0.75342,                0.79386,                0.43399,                0.98759,                0.55046,                0.85456,                  1.249,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0491,                0.86488,                0.86709,                 1.1186,                0.89524,                0.83562,                0.83491,                0.61875,                0.85321,                0.80822,                0.79797,                0.45904,                0.98537,                0.48022,                0.84248,                  1.202,               0.001406,               0.001406,               0.001406
                     33,                  1.053,                0.84667,                0.86791,                 1.0918,                0.82171,                0.82074,                0.83939,                0.60347,                0.79428,                0.79335,                0.81367,                0.46771,                 0.9787,                0.49322,                0.85801,                  1.188,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0232,                0.84114,                 0.8745,                 1.1167,                0.80078,                  0.826,                0.80366,                0.58141,                0.77067,                0.78082,                  0.755,                 0.3535,                 1.0158,                0.66174,                0.94391,                  1.193,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0205,                0.84849,                0.84908,                  1.097,                0.84762,                0.76201,                0.81286,                0.58937,                0.79756,                0.72603,                0.77718,                0.33795,                 1.0495,                0.66548,                0.93675,                 1.2384,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0341,                0.89235,                0.85294,                 1.0957,                0.79308,                0.76712,                0.79087,                0.55033,                0.75431,                0.75342,                0.78533,                0.33385,                 1.0809,                0.60489,                0.93698,                   1.27,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0037,                0.85797,                0.83794,                 1.0686,                0.87537,                0.75342,                 0.8264,                0.62296,                0.82663,                0.71233,                0.78912,                 0.3909,                0.98284,                0.59561,                0.84883,                 1.2337,               0.001307,               0.001307,               0.001307
                     38,                0.96188,                0.83466,                0.80087,                 1.0767,                0.86955,                0.76712,                0.83047,                  0.631,                0.83634,                0.73973,                0.79421,                0.39994,                0.94262,                0.69444,                0.85007,                 1.2014,              0.0012872,              0.0012872,              0.0012872
                     39,                0.96386,                0.77754,                0.80222,                 1.0523,                0.83408,                0.79452,                0.83148,                0.63734,                 0.8489,                0.78082,                  0.812,                0.44147,                0.92997,                0.59358,                 0.8011,                 1.1791,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0179,                0.91425,                0.83151,                 1.0845,                0.87087,                0.78082,                0.83787,                  0.634,                0.82022,                   0.75,                0.78819,                0.44594,                0.94592,                0.57967,                0.80487,                 1.2084,              0.0012476,              0.0012476,              0.0012476
                     41,                0.98281,                0.84927,                0.81702,                 1.0848,                0.87156,                0.74366,                0.82857,                0.61872,                0.83021,                0.73973,                0.78808,                0.47639,                0.96938,                0.59669,                 0.9167,                  1.212,              0.0012278,              0.0012278,              0.0012278
                     42,                0.94679,                0.83201,                0.80757,                 1.0777,                0.88422,                0.83696,                0.85083,                0.65692,                0.84913,                0.76712,                0.79569,                0.44327,                0.95666,                0.59405,                0.81402,                 1.1998,               0.001208,               0.001208,               0.001208
                     43,                0.98835,                0.82009,                0.81418,                 1.0751,                0.87114,                 0.8335,                0.82487,                0.63528,                0.85308,                0.82192,                 0.8202,                0.46063,                0.87832,                0.56178,                0.86272,                 1.1628,              0.0011882,              0.0011882,              0.0011882
                     44,                0.97556,                0.85903,                0.80781,                 1.0721,                0.88385,                0.84932,                0.84587,                0.64248,                0.85174,                0.79452,                0.79709,                0.44024,                0.95018,                0.51733,                0.88718,                 1.1799,              0.0011684,              0.0011684,              0.0011684
                     45,                0.98536,                 0.8407,                 0.7974,                 1.0876,                0.90816,                0.81279,                0.86755,                0.65415,                0.89285,                0.79909,                0.86557,                0.50718,                0.92657,                0.52973,                 0.8817,                 1.1383,              0.0011486,              0.0011486,              0.0011486
                     46,                0.94908,                0.78909,                0.76415,                 1.0628,                0.91428,                0.79452,                0.89036,                0.68593,                0.89852,                0.78082,                0.87161,                 0.5637,                 0.9163,                0.51551,                0.78118,                 1.1685,              0.0011288,              0.0011288,              0.0011288
                     47,                 0.9431,                 0.7797,                0.78535,                  1.066,                0.89902,                0.82192,                0.87133,                0.65332,                0.88383,                0.80822,                0.83188,                0.45723,                0.93161,                0.59551,                0.84093,                 1.1701,               0.001109,               0.001109,               0.001109
