                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.78945,                0.73511,                 0.6369,                 1.0163,                0.89452,                0.83457,                0.88797,                0.72469,                0.88773,                0.82837,                0.87208,                0.41484,                0.64022,                0.42112,                0.59647,                 0.9771,              0.0015446,              0.0015446,              0.0015446
                     26,                0.81852,                0.74161,                0.64214,                 1.0312,                0.92308,                0.80001,                0.87714,                0.74367,                0.91136,                0.78336,                0.85671,                0.49271,                0.61701,                0.34008,                0.54832,                0.92897,              0.0015248,              0.0015248,              0.0015248
                     27,                0.79486,                0.72225,                0.62769,                 1.0257,                0.90995,                0.80197,                0.89427,                0.74004,                 0.8511,                0.78413,                0.85852,                0.47357,                0.62936,                0.35472,                0.54185,                0.97286,               0.001505,               0.001505,               0.001505
                     28,                0.78072,                0.71604,                0.61576,                 1.0198,                0.94118,                0.79048,                0.86417,                0.74293,                  0.839,                0.77778,                0.79401,                0.46683,                0.60474,                0.34513,                0.53882,                0.95264,              0.0014852,              0.0014852,              0.0014852
                     29,                0.77864,                0.72182,                0.62574,                 1.0297,                0.91342,                0.80378,                0.88547,                0.75092,                0.91825,                0.80952,                0.87562,                 0.5118,                0.58936,                0.36223,                0.52825,                 0.9454,              0.0014654,              0.0014654,              0.0014654
                     30,                0.78106,                 0.7162,                0.60707,                  1.013,                0.88719,                0.82222,                0.88191,                0.74355,                0.88225,                    0.8,                0.86204,                0.48148,                0.59341,                0.35567,                0.52554,                0.92491,              0.0014456,              0.0014456,              0.0014456
                     31,                0.73097,                0.68529,                0.58915,                 1.0012,                0.88675,                0.82032,                0.86944,                0.74573,                0.90954,                0.82988,                0.88534,                0.52994,                0.59422,                0.32437,                0.54031,                0.93252,              0.0014258,              0.0014258,              0.0014258
                     32,                0.75136,                0.68144,                0.59741,                 1.0053,                0.90836,                 0.8254,                0.87955,                0.75465,                0.91446,                0.81451,                0.87418,                0.51776,                0.57942,                0.34711,                0.52714,                0.93966,               0.001406,               0.001406,               0.001406
                     33,                0.74149,                0.67072,                0.58478,                 1.0092,                0.92982,                 0.8254,                0.86974,                0.74992,                0.89629,                0.79564,                0.82903,                 0.4202,                0.57357,                0.38464,                0.49587,                0.94171,              0.0013862,              0.0013862,              0.0013862
                     34,                0.74532,                 0.7055,                0.58349,                 1.0019,                0.91045,                0.80952,                0.86976,                0.74144,                0.89596,                0.79365,                0.85063,                0.47846,                0.56908,                0.35964,                0.52309,                0.91941,              0.0013664,              0.0013664,              0.0013664
                     35,                0.71593,                0.70192,                0.57123,                0.99769,                0.90929,                0.82857,                0.88305,                0.75658,                0.89884,                0.81905,                0.85421,                0.51294,                0.56084,                0.33046,                0.52301,                0.93026,              0.0013466,              0.0013466,              0.0013466
                     36,                0.72269,                 0.6923,                0.57794,                0.99697,                0.92422,                0.81309,                0.87655,                0.74789,                0.92922,                0.79185,                0.86878,                0.47933,                0.55024,                 0.3662,                0.50724,                0.91501,              0.0013268,              0.0013268,              0.0013268
