                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.91881,                0.82407,                0.81771,                 1.0625,                0.78331,                0.81943,                0.83529,                0.66367,                0.74332,                0.77886,                0.76558,                0.42303,                0.77256,                0.52308,                0.76156,                 1.0164,             0.00085803,             0.00085803,             0.00085803
                     26,                0.89042,                0.82457,                0.80267,                 1.0518,                0.81193,                0.82614,                 0.8449,                0.67929,                0.84136,                0.75929,                0.79348,                0.44348,                0.73908,                0.48141,                0.74574,                0.98795,             0.00084703,             0.00084703,             0.00084703
                     27,                0.89967,                0.84539,                 0.8115,                 1.0596,                0.88528,                0.80704,                 0.8643,                0.70574,                0.84817,                0.74764,                0.79634,                0.46451,                0.72439,                0.44011,                0.71889,                 1.0104,             0.00083603,             0.00083603,             0.00083603
                     28,                 0.8702,                0.79673,                0.78195,                  1.047,                0.85053,                0.85421,                0.87722,                0.70467,                0.82484,                0.78662,                0.80572,                0.45807,                0.70476,                0.44766,                0.75472,                 1.0025,             0.00082503,             0.00082503,             0.00082503
                     29,                 0.8769,                0.78697,                0.78641,                  1.053,                0.92174,                0.81479,                0.88641,                0.69441,                0.84821,                0.74225,                0.76928,                0.38537,                0.75652,                0.53525,                0.68221,                 1.0294,             0.00081403,             0.00081403,             0.00081403
                     30,                0.88121,                0.79831,                0.78539,                 1.0472,                0.88786,                0.83601,                0.88483,                0.71269,                0.83372,                0.77369,                0.78634,                0.40066,                0.74311,                0.57571,                0.69631,                  1.031,             0.00080303,             0.00080303,             0.00080303
                     31,                0.89338,                0.77749,                0.79185,                 1.0453,                0.86453,                0.83923,                0.87832,                0.71599,                0.81734,                0.78026,                0.81659,                0.46571,                0.69158,                0.42459,                0.68967,                0.98353,             0.00079203,             0.00079203,             0.00079203
                     32,                0.87457,                0.78462,                0.77313,                 1.0436,                0.87059,                0.82471,                0.86611,                0.71572,                0.82524,                0.79236,                0.81807,                 0.4449,                0.68614,                0.46433,                0.66976,                 0.9871,             0.00078103,             0.00078103,             0.00078103
                     33,                0.85446,                0.79611,                0.77294,                 1.0391,                0.82504,                0.82654,                0.85979,                0.69293,                0.80206,                0.73528,                0.76275,                0.38453,                0.75081,                0.50639,                0.69387,                 1.0096,             0.00077003,             0.00077003,             0.00077003
                     34,                0.85732,                 0.7895,                0.75203,                 1.0371,                0.90488,                  0.837,                0.89784,                0.73573,                0.87741,                0.80749,                0.85231,                 0.5426,                0.66483,                0.40342,                0.62907,                0.97888,             0.00075904,             0.00075904,             0.00075904
                     35,                0.86034,                0.78985,                0.76146,                 1.0393,                0.87656,                0.78461,                0.87696,                 0.7114,                0.81932,                0.78456,                0.81934,                0.48313,                0.67965,                0.42268,                 0.6422,                0.97492,             0.00074804,             0.00074804,             0.00074804
                     36,                 0.8686,                0.80657,                0.75987,                 1.0378,                0.85992,                0.82965,                0.87506,                 0.7214,                0.80297,                0.78068,                0.80408,                0.49055,                0.67157,                0.42317,                0.63526,                0.97862,             0.00073704,             0.00073704,             0.00073704
                     37,                0.85885,                0.76625,                0.75093,                 1.0341,                0.88804,                0.81438,                0.87374,                0.70764,                0.85063,                0.77046,                0.79322,                0.43006,                 0.6515,                0.48502,                0.62378,                0.96199,             0.00072604,             0.00072604,             0.00072604
                     38,                0.85575,                0.80436,                 0.7449,                 1.0419,                0.89714,                0.86507,                0.89806,                 0.7301,                0.87557,                0.84346,                0.87009,                0.50003,                0.70889,                0.43452,                0.62605,                 1.0018,             0.00071504,             0.00071504,             0.00071504
                     39,                0.82035,                0.73524,                0.73112,                 1.0243,                0.88551,                0.87186,                0.89643,                0.71637,                0.84399,                0.84174,                 0.8495,                0.47797,                0.76295,                0.43103,                0.63314,                 1.0559,             0.00070404,             0.00070404,             0.00070404
                     40,                0.83294,                0.77179,                0.73002,                 1.0351,                0.86035,                0.84178,                0.89002,                0.73153,                0.83549,                0.81509,                0.84593,                0.49604,                0.68035,                0.42757,                0.64267,                0.99027,             0.00069304,             0.00069304,             0.00069304
                     41,                0.82032,                0.75189,                0.71113,                 1.0197,                0.87921,                0.85347,                0.88796,                0.72992,                0.85982,                0.83244,                0.85439,                 0.5264,                0.71458,                0.37934,                0.61155,                  1.023,             0.00068204,             0.00068204,             0.00068204
                     42,                0.83295,                 0.7765,                0.71262,                 1.0267,                0.89988,                0.85558,                0.90078,                0.75591,                0.88617,                0.82635,                0.85681,                0.56542,                0.63533,                0.36634,                0.58337,                0.96173,             0.00067104,             0.00067104,             0.00067104
                     43,                0.81173,                0.74787,                0.70722,                 1.0257,                0.88801,                0.87099,                0.89338,                0.74517,                0.86384,                0.84807,                0.86204,                0.54717,                0.67513,                0.40931,                0.59182,                 0.9881,             0.00066005,             0.00066005,             0.00066005
                     44,                0.81719,                0.75414,                0.71647,                 1.0198,                0.91849,                 0.8326,                0.90445,                0.75602,                0.90756,                0.82727,                0.88055,                0.55522,                0.65266,                0.38732,                0.59499,                0.96451,             0.00064905,             0.00064905,             0.00064905
                     45,                0.82073,                0.76597,                0.71277,                 1.0216,                0.86862,                0.82939,                0.87609,                 0.7033,                0.83346,                0.78808,                0.80205,                0.45449,                0.70798,                 0.4427,                0.64496,                 1.0107,             0.00063805,             0.00063805,             0.00063805
                     46,                0.79701,                0.72735,                0.68322,                 1.0111,                0.85525,                0.85783,                 0.8928,                 0.7515,                0.85544,                0.82524,                0.86665,                0.53762,                 0.6234,                0.39487,                0.59466,                0.94405,             0.00062705,             0.00062705,             0.00062705
