                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0976,                0.95451,                 0.9498,                 1.1173,                0.82387,                0.80822,                0.77985,                0.54847,                 0.8285,                0.76712,                0.78956,                0.37754,                 1.0946,                0.68484,                 1.0918,                 1.2982,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1094,                0.91716,                0.93099,                 1.1154,                0.80802,                0.75342,                0.78142,                0.53491,                0.79333,                0.73973,                0.77792,                0.42645,                 1.1652,                0.50324,                 1.1954,                 1.3687,              0.0015446,              0.0015446,              0.0015446
                     26,                  1.096,                0.87886,                0.93533,                 1.1294,                0.84675,                0.75696,                0.76782,                0.54913,                0.80502,                0.73973,                0.74603,                0.33065,                 1.1182,                0.61039,                  1.206,                 1.2785,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1157,                0.88523,                0.94118,                  1.115,                0.78269,                0.76712,                0.78167,                0.54401,                0.74158,                0.78627,                0.75471,                0.38516,                 1.0951,                0.55913,                 1.1751,                 1.3022,               0.001505,               0.001505,               0.001505
                     28,                 1.0422,                0.90338,                0.90566,                 1.0911,                 0.7194,                0.80822,                0.78754,                0.56084,                0.71602,                0.80822,                0.78853,                0.43147,                 1.0521,                0.53171,                 1.0499,                 1.2693,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.0714,                0.85552,                 0.9341,                    1.1,                0.59843,                0.83562,                0.75266,                0.55968,                0.57881,                0.80822,                0.73249,                0.36395,                 1.0168,                 0.5984,                 1.0933,                 1.2513,              0.0014654,              0.0014654,              0.0014654
                     30,                 1.1075,                0.98423,                0.94894,                 1.1137,                0.81438,                0.82192,                0.82377,                0.60709,                0.78438,                0.78082,                 0.7923,                0.33597,                 1.0347,                0.70711,                 1.0191,                 1.2631,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0774,                0.91493,                0.91914,                 1.1083,                0.84714,                0.71233,                0.79717,                0.57872,                0.84714,                0.71233,                 0.8103,                0.40154,                 1.0731,                0.67698,                 1.0397,                 1.2675,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0566,                0.85373,                0.86887,                 1.1003,                0.79664,                0.76712,                0.79251,                0.56995,                0.81087,                0.78082,                 0.8132,                0.37501,                 1.0658,                0.80585,                 0.9645,                 1.2602,               0.001406,               0.001406,               0.001406
                     33,                 1.0401,                0.81505,                0.87951,                 1.0984,                0.71169,                0.87919,                0.80448,                0.57755,                0.76841,                0.80822,                0.78132,                0.45285,                0.97238,                0.60921,                0.93485,                 1.2464,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.0436,                0.83479,                0.87742,                 1.0963,                0.85198,                0.78851,                0.81074,                0.57768,                0.83718,                0.77481,                0.80033,                0.47284,                 1.0018,                0.62984,                0.89694,                 1.2621,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.0286,                0.80513,                0.86714,                 1.0951,                 0.8531,                0.78082,                0.80597,                0.55857,                0.83813,                0.76712,                0.76908,                0.40246,                0.98706,                0.68376,                0.95376,                 1.1971,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.0251,                0.83524,                0.89146,                 1.0948,                0.85136,                0.75342,                0.78384,                0.57372,                0.80088,                0.71233,                0.72758,                0.33155,                0.96615,                0.85351,                0.91621,                  1.194,              0.0013268,              0.0013268,              0.0013268
