                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6644,                 2.6877,                 2.7316,                 1.4943,                0.40889,                0.15314,                0.17292,                0.08586,                0.33989,                0.15267,                  0.095,                0.02371,                 1.5319,                 1.3553,                 3.0059,                 1.5831,                0.00038,                0.00038,                0.00038
                      2,                 1.0745,                0.91338,                 1.4651,                 1.1023,                0.64524,                0.23664,                0.30866,                0.17982,                0.24977,                 0.0916,                0.07157,                0.01832,                 1.3734,                 1.4619,                 2.8677,                 1.3246,             0.00077228,             0.00077228,             0.00077228
                      3,                 1.1375,                0.89651,                  1.336,                 1.1005,                0.39183,                0.35903,                0.30191,                0.18195,                0.35157,                0.35115,                0.24673,                0.08971,                 1.4583,                 1.1202,                  2.535,                 1.3323,              0.0011566,              0.0011566,              0.0011566
                      4,                 1.1074,                0.91943,                 1.2306,                 1.0723,                0.36037,                0.33588,                0.32941,                0.23535,                0.39489,                0.36641,                0.34628,                0.13432,                  1.365,                  1.046,                 2.0346,                 1.3626,              0.0015331,              0.0015331,              0.0015331
                      5,                 1.0657,                0.82256,                 1.1697,                 1.0649,                0.61612,                0.43511,                 0.4314,                0.29185,                0.55127,                0.38931,                0.35249,                0.11911,                 1.4222,                0.99431,                 2.0371,                 1.3741,              0.0019016,              0.0019016,              0.0019016
                      6,                 1.0439,                0.80055,                 1.1226,                 1.0812,                 0.5917,                0.29008,                0.35917,                0.20105,                0.46199,                0.34351,                0.36582,                0.16181,                 1.7556,                0.81459,                 2.2163,                  1.508,               0.001901,               0.001901,               0.001901
                      7,                 1.0663,                0.87497,                 1.0758,                 1.0932,                0.56374,                0.52672,                0.52898,                0.34606,                0.64142,                0.54621,                0.54258,                0.23836,                 1.4103,                0.84127,                 1.6733,                 1.3379,               0.001901,               0.001901,               0.001901
                      8,                 1.0016,                0.81755,                 1.0105,                 1.0681,                0.72807,                0.51097,                0.54209,                0.36334,                0.82144,                0.48855,                0.52891,                  0.222,                 1.4001,                0.92664,                 1.7566,                 1.4284,              0.0018812,              0.0018812,              0.0018812
                      9,                0.96245,                0.76254,                0.93208,                 1.0339,                0.75638,                0.54514,                0.60656,                 0.4127,                0.76504,                0.54684,                0.61011,                0.26995,                 1.2508,                0.84975,                 1.4182,                 1.2204,              0.0018614,              0.0018614,              0.0018614
                     10,                0.88997,                0.74308,                0.85762,                  1.012,                0.67446,                0.64122,                0.62597,                0.44761,                0.69956,                0.62595,                0.61685,                0.32332,                  1.184,                0.76856,                 1.3743,                 1.2315,              0.0018416,              0.0018416,              0.0018416
