                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.85778,                0.74112,                0.72821,                 1.0367,                0.88725,                0.81522,                0.86594,                0.63313,                0.82857,                0.76087,                0.77774,                0.38004,                0.89413,                 0.5163,                0.83279,                 1.1292,              0.0015644,              0.0015644,              0.0015644
                     25,                0.86157,                0.73128,                0.71922,                 1.0435,                0.85216,                 0.8772,                0.86664,                0.67032,                 0.8362,                0.81522,                0.82239,                0.36519,                0.82512,                 0.5527,                0.77273,                 1.0765,              0.0015446,              0.0015446,              0.0015446
                     26,                0.89379,                0.75163,                0.74033,                 1.0502,                0.75837,                0.88043,                0.84808,                0.61874,                0.85771,                0.70652,                0.80228,                0.40528,                 0.9359,                0.50628,                0.80203,                 1.1301,              0.0015248,              0.0015248,              0.0015248
                     27,                0.83201,                0.69033,                0.71642,                  1.027,                0.80112,                0.69565,                0.80983,                0.63631,                0.80186,                0.69565,                0.79316,                0.45205,                0.82277,                0.44979,                0.80797,                 1.0436,               0.001505,               0.001505,               0.001505
                     28,                0.86249,                0.69825,                0.71953,                 1.0407,                0.83505,                0.88046,                0.87212,                0.68442,                0.82475,                0.86959,                0.87718,                0.45594,                 0.7523,                0.44091,                0.70694,                 1.0051,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.8228,                 0.6715,                 0.7005,                 1.0191,                0.81869,                0.83696,                0.87733,                0.68423,                0.79177,                 0.8266,                0.85099,                0.45424,                0.77435,                0.43167,                0.76086,                 1.0021,              0.0014654,              0.0014654,              0.0014654
                     30,                0.85598,                0.68697,                0.70929,                 1.0296,                0.82801,                0.84783,                0.87691,                0.63918,                0.81237,                   0.75,                  0.794,                0.35657,                0.88898,                0.62639,                0.74489,                 1.0636,              0.0014456,              0.0014456,              0.0014456
                     31,                0.84285,                0.67406,                0.69136,                 1.0305,                0.86107,                0.78261,                 0.8563,                0.64751,                0.80538,                0.70652,                0.77608,                0.33978,                0.90126,                0.64475,                 0.7408,                 1.1007,              0.0014258,              0.0014258,              0.0014258
                     32,                0.85301,                0.68197,                0.71587,                 1.0305,                0.85039,                0.86497,                 0.8667,                0.67178,                0.80845,                0.82609,                0.81157,                0.45832,                0.84908,                0.45684,                0.68983,                 1.0751,               0.001406,               0.001406,               0.001406
                     33,                0.87628,                0.71928,                0.73201,                  1.033,                0.89784,                0.86957,                0.89042,                0.66271,                 0.8527,                0.82609,                0.82489,                0.43619,                0.84729,                0.49719,                0.71116,                 1.0669,              0.0013862,              0.0013862,              0.0013862
                     34,                0.79962,                0.66245,                 0.6693,                 1.0135,                0.91083,                0.82609,                0.87695,                0.68596,                0.93478,                0.82609,                0.89154,                0.50215,                0.80981,                0.43059,                0.69595,                 1.0355,              0.0013664,              0.0013664,              0.0013664
                     35,                0.81752,                 0.6579,                0.67331,                 1.0218,                0.82925,                0.88043,                0.87668,                0.73868,                0.83073,                0.85352,                0.86985,                0.53918,                0.74862,                0.41938,                0.66798,                 1.0078,              0.0013466,              0.0013466,              0.0013466
                     36,                0.83255,                0.67878,                0.69475,                 1.0184,                0.87901,                0.86864,                0.87464,                0.72639,                0.89001,                0.87951,                0.88283,                0.52228,                0.72186,                0.41983,                0.66107,                0.95936,              0.0013268,              0.0013268,              0.0013268
                     37,                0.81186,                0.66448,                0.65952,                 1.0126,                0.81092,                 0.7925,                0.81961,                0.65549,                0.82204,                0.80337,                0.82613,                0.47377,                0.79026,                0.44086,                0.73633,                 1.0377,               0.001307,               0.001307,               0.001307
                     38,                0.78908,                0.65658,                0.63066,                 1.0053,                0.95433,                0.84783,                 0.9152,                0.75524,                0.95433,                0.84783,                 0.9152,                0.55537,                0.69596,                0.40842,                0.58827,                0.95412,              0.0012872,              0.0012872,              0.0012872
                     39,                0.79618,                0.69432,                0.66319,                 1.0173,                 0.9226,                 0.8913,                 0.9109,                0.74895,                0.91299,                0.86957,                0.89697,                 0.5664,                0.71076,                0.42206,                0.61291,                 1.0039,              0.0012674,              0.0012674,              0.0012674
                     40,                0.79056,                0.68612,                0.65833,                 1.0172,                0.79917,                0.90833,                0.88784,                0.74188,                 0.7896,                0.89746,                 0.8699,                0.54775,                0.70965,                0.42028,                  0.628,                0.98893,              0.0012476,              0.0012476,              0.0012476
                     41,                0.75285,                0.67752,                0.62033,                 1.0002,                 0.8777,                0.90217,                 0.8991,                0.75637,                0.86178,                0.84783,                0.88413,                0.56663,                0.68241,                0.41157,                0.62217,                0.94818,              0.0012278,              0.0012278,              0.0012278
                     42,                0.79716,                0.67251,                0.65391,                 1.0228,                0.83796,                 0.8994,                0.85967,                0.70531,                0.81775,                 0.8779,                0.85579,                0.56836,                0.72873,                0.41826,                0.68083,                0.97429,               0.001208,               0.001208,               0.001208
                     43,                 0.7652,                0.65352,                0.62561,                 1.0033,                0.87372,                0.90248,                0.90788,                0.71679,                0.84268,                0.88043,                0.89579,                0.56968,                0.71362,                0.40061,                 0.6181,                0.94761,              0.0011882,              0.0011882,              0.0011882
                     44,                0.75605,                0.64823,                0.60509,                 0.9889,                0.83974,                0.91126,                0.90311,                0.72453,                0.84975,                0.92213,                0.90958,                0.56291,                0.74083,                0.40791,                0.61432,                0.99444,              0.0011684,              0.0011684,              0.0011684
